video,camera_movement,content_movement,color,content_type
Abstract - Canyon,fast,fast,changing,abstract
Angel falls,slow,slow,changing,nature
Bavarian Alps,still,fast,static,nature
Barcelona,cut,medium,changing,city
Beach video,slow,slow,static,nature
Black hole video,slow,slow,static,abstract
Blue whale,still,fast,static,animal
Dog POV,fast,fast,changing,animal
Dog shelter,cut,medium,changing,animal
Dog sled,slow,fast,static,animal
Dolphins playing,slow,medium,static,water
Dreams of Dali,fast,slow,static,abstract
Over Dubai,fast,slow,static,sky
Flying into the sky,slow,fast,changing,sky
Lions,cut,slow,changing,animal
London park,medium,medium,static,nature
Nature sounds,cut,slow,changing,nature
NYC,fast,fast,changing,city
Rhinos,still,medium,static,animal
Sea video,medium,medium,static,water
Shower falls,still,fast,static,nature
Temple,slow,medium,changing,nature
Two guys on a boat,medium,medium,changing,water
